"y","x"
564,545
574,551
586,558
598,566
610,575
624,587
627,591
634,601
637,605
641,610
650,622
653,626
658,639
659,645
663,655
667,663
670,672
673,679
674,687
674,690
674,701
674,706
674,714
674,722
674,734
674,742
674,770
675,780
677,805
677,813
678,828
678,840
676,850
673,860
668,872
662,885
655,900
647,915
638,929
630,938
623,942
616,943
609,945
601,948
595,952
590,955
586,958
581,959
579,960
572,963
566,967
559,973
557,974
548,982
544,987
535,996
524,1005
512,1011
503,1015
493,1017
482,1019
467,1025
454,1034
442,1040
431,1044
426,1046
415,1048
411,1048
398,1048
393,1048
378,1048
374,1048
356,1046
351,1045
335,1041
331,1039
313,1031
307,1028
293,1022
281,1015
268,1007
257,1000
248,992
236,984
225,977
214,970
205,962
195,955
189,949
184,942
179,936
178,932
173,923
167,907
165,900
161,888
157,879
154,869
153,859
153,849
154,836
155,823
156,809
157,797
157,785
158,772
159,760
160,748
161,738
162,731
163,724
164,721
166,708
168,702
171,689
172,686
175,676
176,674
179,669
182,664
187,657
190,652
195,646
200,639
204,631
208,624
212,617
216,611
218,609
223,605
230,599
235,593
238,589
247,578
253,571
257,569
264,563
275,556
280,553
292,545
295,542
303,537
311,533
319,530
329,527
339,526
343,525
354,525
363,524
367,524
376,522
388,521
396,521
401,521
415,523
418,523
430,524
436,524
451,526
457,527
468,528
478,530
487,534
496,536
503,540
512,543
523,548
534,555
545,560
551,563
566,569
572,571
588,579
593,582
604,589
618,604
623,608
635,621
638,626
645,636
652,647
655,651
658,658
661,666
662,675
665,684
666,693
667,703
668,713
669,718
671,736
672,749
672,755
672,771
672,775
672,785
671,789
668,806
667,812
664,823
660,840
660,844
656,855
651,868
650,871
647,877
643,882
639,890
633,900
629,909
624,917
620,924
616,929
614,932
609,938
604,943
597,951
591,958
585,966
582,970
572,978
569,979
562,983
556,986
548,990
540,996
530,1000
521,1005
513,1008
505,1011
496,1013
487,1014
479,1016
470,1017
462,1018
453,1019
443,1020
435,1021
431,1021
422,1021
413,1022
399,1022
396,1022
387,1022
377,1021
370,1021
362,1021
353,1019
346,1018
337,1015
328,1014
321,1011
313,1009
305,1006
301,1005
289,1000
280,995
270,991
267,989
255,981
247,975
244,972
231,963
227,959
219,953
212,945
201,934
197,931
191,924
183,917
177,909
171,902
164,893
159,884
153,873
148,863
145,853
140,844
138,837
136,830
134,823
134,820
133,811
133,802
133,790
133,776
134,773
136,764
138,759
141,751
144,745
148,737
150,731
154,724
156,719
158,713
161,708
163,704
165,701
166,697
169,691
171,682
173,679
175,671
179,663
182,657
188,648
192,642
194,640
199,634
203,627
208,620
213,615
217,609
221,603
226,599
230,596
235,593
240,590
246,583
252,577
259,570
264,566
268,564
276,557
288,548
293,545
307,536
311,534
323,527
335,520
347,513
357,509
366,507
376,504
386,503
396,500
406,497
415,495
424,494
431,493
438,493
442,493
454,493
461,495
469,498
473,498
488,502
493,503
504,506
515,511
517,512
522,515
529,519
537,522
545,526
551,529
557,531
560,533
564,536
567,538
568,541
573,546
576,549
580,553
585,557
590,563
594,566
598,571
601,573
606,581
608,584
614,594
616,598
622,605
629,615
632,618
635,624
638,630
641,634
644,640
647,645
649,650
651,656
653,660
656,665
660,673
662,678
663,681
664,687
666,693
669,706
671,711
676,726
677,732
679,743
680,754
680,767
680,776
680,787
679,797
678,808
677,818
675,829
673,839
672,844
668,857
665,865
662,873
660,876
657,883
656,885
653,889
650,894
646,900
641,907
640,908
638,910
636,913
633,918
630,922
628,925
626,926
624,927
620,930
616,932
612,936
606,942
602,944
596,950
593,952
586,956
582,958
575,962
572,964
564,967
561,969
554,973
547,979
540,983
535,985
529,987
522,989
517,992
511,994
506,997
501,999
495,1000
490,1002
485,1003
481,1003
475,1004
470,1004
468,1005
462,1005
456,1006
448,1006
446,1006
437,1006
433,1006
426,1006
420,1006
414,1006
407,1006
400,1006
393,1006
387,1005
383,1005
374,1004
368,1003
363,1003
357,1001
352,999
346,997
338,995
336,993
327,989
324,988
318,985
309,980
302,976
294,970
289,968
281,963
274,958
268,953
263,948
257,943
251,937
244,931
239,926
238,924
234,917
232,914
229,910
227,905
224,902
221,895
217,887
